"Thu Jan 11 18:27:46 2018   Matrizes de confusão anuais para Caatinga  -  Coleção 4.0 (CLASSIFICAÇÃO + FILTRO + INTEGRAÇÃO)  "
" "
"Corpo da tabela contém distribuição de frequências cruzadas da amostra."
"Marginais:"
"Totais: A coluna 'total' contém a soma das amostras de cada classe mapeada ou a estatística de linha para todas as classes. A linha 'total' contém a soma das amostras em cada classe observada ou a respectiva estatística de coluna para todas as classes. "
"Número de píxeis na população - A coluna 'population' contém o número de píxeis totais de cada classe mapeada. A 'adj population' contém as estimativas no número de píxeis na população corrigida pela matriz de erros. A coluna 'bias' contém a estimativa do viés relativo da área mapeada. A linha 'adj pop stdErr' contém uma estimativa do erro padrão do número de píxeis corrigido. Usado para representar a incerteza d ou construir intervalos de confiança. A estimativa do erro padrão é confiável apenas quando n>30./nAcurácias - Acurácia do usuário (user's accuracy): estimativa da fração de píxeis (ou área) de cada classe do mapa que está corretamente mapeada. Acurácia do produtor (producer's accuracy): estimativa da fração de píxeis (ou área) de cada classe que foi corretamente mapeada. A coluna 'user stderr' contém a estimativa do erro padrão da acurácia do usuário"
"Erros - Erro de comissão e omissão: são os complementares da acurácia do usuário e produtor"
"Decomposição do erro - O erro é decomposto em 'discordância de área' (area dis) e 'discordância de alocação' (alloc dis). A soma deles é o erro total."
" "
" "
" ANO: 1985 "
" ";"1.1. Floresta Natural";"2.2. Formação Campestre (Campo)";"3.1. Pastagem";"3.2. Agricultura";"3.3 Mosaico de Agricultura ou Pastagem";"4.1. Infraestrutura Urbana";"5.1. Rio, Lago e Oceano";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"adj pop stdErr";6.75687458792614e-17;1.5206681323012812e-16;7.44974114870711e-17;3.743511494786478e-16;1.4113040501748127e-16;6.376612903225718e-16;3.106843955474273e-16;1.7579602109625888e-15;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.8956019894292199;0.15357578346583417;0.657868662704122;0.15968965162425236;1.0;0.6828772934787326;0.7879867336727202;0.8035658276788034;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.010255372385287613;0.009908480367730904;0.015129049065197799;0.014403889327077781;0.03370760425812472;0.03796467770176073;0.04814977187661554;0.013384504152853754;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.9897446276147124;0.990091519632269;0.9848709509348021;0.9855961106729222;0.9662923957418753;0.9620353222982393;0.9518502281233845;0.19643417232119664;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.1292410939389108;0.05387379518900307;0.047536855911377074;0.010390181498715227;0.0;0.00027997864671267794;0.00047455220699920905;0.12089822869585903;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 1992 "
" ";"1.1. Floresta Natural";"2.2. Formação Campestre (Campo)";"3.1. Pastagem";"3.2. Agricultura";"3.3 Mosaico de Agricultura ou Pastagem";"4.1. Infraestrutura Urbana";"5.1. Rio, Lago e Oceano";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1.1. Floresta Natural";0.544725782728399;0.012741990294096995;0.07742909195440814;0.003492787925513522;0.0;0.0002547258794177238;0.001406476754334168;0.6400508555361696;0.6400508555361696;-0.02954170513687754;0.8510664082654541;0.00952256083936706;0.1489335917345459;0.029541705136877594
"2.2. Formação Campestre (Campo)";0.02184651018040705;0.005563280407710308;0.006265475365570836;0.0001586585567686228;0.0;9.696139415790224e-05;0.0001700761665963683;0.034100962071211084;0.034100962071211084;0.0032279727208547188;0.1631414502644479;0.010512915145176535;0.8368585497355521;0.0032279727208547188
"3.1. Pastagem";0.016556854650634053;0.0056287490378759165;0.18237269861873948;0.0016735266816438011;0.0;0.00012311871781515147;9.115485898058869e-05;0.206446102565689;0.206446102565689;0.07062843590659448;0.8833913372654267;0.021157026738061382;0.11660866273457327;0.07062843590659443
"3.2. Agricultura";0.0002557161561948733;0.0;0.010928150840313308;0.0009028918330496851;0.0;0.0;0.0;0.012086758829557866;0.012086758829557866;-0.0058588938325822406;0.07470090582445356;0.0071512517349127894;0.9252990941755465;0.005858893832582235
"3.3 Mosaico de Agricultura ou Pastagem";0.02688496458666945;0.013206537831922731;0.0;0.0;0.05461627639911773;0.00025705139629872984;0.0006186615859530787;0.09558349179996173;0.09558349179996173;-0.040967215400844;0.5713986314019508;0.018775584038724907;0.4286013685980492;0.040967215400844
"4.1. Infraestrutura Urbana";6.0769905987059124e-05;0.0;7.912169325171798e-05;0.0;0.0;0.0015759476752709605;0.0;0.0017158392745097377;0.0017158392745097377;0.0005919657884507302;0.9184704527300507;0.05224631489773906;0.08152954726994932;0.0005919657884507303
"5.1. Rio, Lago e Oceano";0.00017855219100051576;0.0001883772204598583;0.0;0.0;0.0;0.0;0.009649060511442825;0.0100159899229032;0.0100159899229032;0.0019194399544038294;0.9633656369180912;0.06468694526864018;0.036634363081908816;0.0019194399544038288
"total";0.610509150399292;0.0373289347920658;0.2770745384722834;0.006227864996975631;0.05461627639911773;0.002307805062960468;0.011935429877307028;1.0000000000000002;1.0000000000000002;0;0.7994059381737297;0.013439830853764819;0.20059406182627026;0.07636781437030375
"adj population";0.6105091503992905;0.03732893479206582;0.2770745384722831;0.006227864996975631;0.0546162763991177;0.002307805062960468;0.01193542987730702;1.0000000000000002;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";6.729569394607954e-17;1.5104064122021495e-16;7.384064037570433e-17;3.640391099402313e-16;1.405662874805556e-16;6.37423985893288e-16;3.1676974303732937e-16;1.750976101893403e-15;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.8922483510232913;0.14903399839024528;0.6582080750699602;0.14497614085856814;1.0;0.6828772934787326;0.8084384568157611;0.7994059381737295;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.010383582884144898;0.009623125419004497;0.014893951141845548;0.013730097357768038;0.034083116344189125;0.0378740128969288;0.05085621668767115;0.01346662676697344;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.9896164171158551;0.9903768745809955;0.9851060488581544;0.9862699026422319;0.9659168836558109;0.9621259871030712;0.9491437833123288;0.2005940618262705;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.13156673534178598;0.057075363327001555;0.048146807893899024;0.010649946327851892;0.0;0.0002797831984775543;0.0007338588229207493;0.12422624745596839;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 1993 "
" ";"1.1. Floresta Natural";"2.2. Formação Campestre (Campo)";"3.1. Pastagem";"3.2. Agricultura";"3.3 Mosaico de Agricultura ou Pastagem";"4.1. Infraestrutura Urbana";"5.1. Rio, Lago e Oceano";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1.1. Floresta Natural";0.5389225744142796;0.012325056541547827;0.07666279876396098;0.0032663170549249634;0.0;0.00030740700094255495;0.0014358426130028433;0.6329199963886588;0.6329199963886588;-0.0303870443449413;0.8514860922222185;0.009632149866485726;0.1485139077777815;0.030387044344941327
"2.2. Formação Campestre (Campo)";0.01981093828534089;0.005473871381955932;0.005580872516483054;0.00026714216705538835;0.0;9.688626417795265e-05;0.00016994438405448903;0.0313996549990677;0.0313996549990677;0.00574428300374958;0.1743290294787779;0.011231506694043138;0.8256709705212221;0.005744283003749594
"3.1. Pastagem";0.01670730988864268;0.005963518867991439;0.1915106984969606;0.0020659281913122706;0.0;0.00021324616690496676;9.108422816110639e-05;0.21655178583997306;0.21655178583997306;0.0684466438006766;0.884364438529649;0.020772895193468054;0.11563556147035103;0.06844664380067658
"3.2. Agricultura";0.00025551801599841097;0.0;0.011164999476983366;0.000910901501321489;0.0;0.0;0.0;0.012331418994303265;0.012331418994303265;-0.005821130079689158;0.07386834408451266;0.006532718146344474;0.9261316559154873;0.005821130079689154
"3.3 Mosaico de Agricultura ou Pastagem";0.02677588862068176;0.01324175605866845;0.0;0.0;0.05536662023026301;0.00025685222149913394;0.0002834194197559796;0.09592453655086833;0.09592453655086833;-0.04055791632060534;0.5771893430092551;0.019002352794677765;0.42281065699074494;0.04055791632060532
"4.1. Infraestrutura Urbana";6.072281877407092e-05;0.0;7.90603862616607e-05;0.0;0.0;0.0015747265612567386;0.0;0.0017145097662924701;0.0017145097662924701;0.0007346084484888767;0.9184704527300507;0.05220604152695999;0.08152954726994932;0.0007346084484888768
"5.1. Rio, Lago e Oceano";0.0;0.00013973515265364633;0.0;0.0;0.0;0.0;0.009018362308182266;0.009158097460835913;0.009158097460835913;0.0018405554923207716;0.9847419015520182;0.07006364484775682;0.01525809844798176;0.0018405554923207716
"total";0.6025329520437175;0.037143938002817296;0.28499842964064964;0.006510288914614111;0.05536662023026301;0.002449118214781347;0.010998652953156685;1.0;1.0;0;0.8027777548942197;0.013581960271110359;0.19722224510578035;0.07676609074523581
"adj population";0.6025329520437179;0.037143938002817296;0.28499842964064964;0.006510288914614112;0.055366620230262925;0.002449118214781347;0.01099865295315668;1.0;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";6.702786133080742e-17;1.511507449197965e-16;7.327887323661916e-17;3.5876263515039407e-16;1.3828513102749664e-16;6.116422063744427e-16;3.2814336859137045e-16;1.7282908206309272e-15;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.8944283836864371;0.14736917182935072;0.6719710657298485;0.1399172161586751;1.0;0.6429769505419024;0.8199515292092143;0.8027777548942198;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.010516595845311918;0.009407915796759857;0.014915839301168875;0.012026615073785525;0.034172714401151806;0.036453572071125234;0.054393395963897716;0.013594890990607261;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.989483404154688;0.9905920842032402;0.9850841606988311;0.9879733849262144;0.9658272855988482;0.9635464279288748;0.9456066040361023;0.19722224510578024;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.12722075525887577;0.051851567234223545;0.05008217468602494;0.011198774826585245;0.0;0.0002795664100714631;0.00027947030530729375;0.12045615436054412;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 1994 "
" ";"1.1. Floresta Natural";"2.2. Formação Campestre (Campo)";"3.1. Pastagem";"3.2. Agricultura";"3.3 Mosaico de Agricultura ou Pastagem";"4.1. Infraestrutura Urbana";"5.1. Rio, Lago e Oceano";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1.1. Floresta Natural";0.537197718207869;0.012993434722873632;0.0809546441049171;0.0031271342390571093;0.0;0.0002552504280407875;0.0019063183156580068;0.6364345000184156;0.6364345000184156;-0.03713174376000501;0.8440738492214439;0.009531054675136735;0.1559261507785561;0.03713174376000494
"2.2. Formação Campestre (Campo)";0.017862960492869957;0.004602905437611012;0.005980924716992871;0.0001323123707012991;0.0;9.7044687330963e-05;7.91896615080133e-05;0.028755337367014112;0.028755337367014112;0.008952802820847136;0.16007134184734353;0.011261688974508778;0.8399286581526565;0.00895280282084715
"3.1. Pastagem";0.016646177152375555;0.006011832864261607;0.19087027002185228;0.0022141684189819536;0.0;0.0004190324387949326;0.00023801867939229388;0.21639949957565863;0.21639949957565863;0.07363523008012657;0.8820273170507924;0.020684425414886607;0.1179726829492076;0.07363523008012668
"3.2. Agricultura";0.00032803395122157783;0.0;0.01217609770435101;0.001269199053164553;0.0;0.0;0.0;0.01377333070873714;0.01377333070873714;-0.0070305166268322325;0.09214902916397946;0.006892019960054444;0.9078509708360205;0.0070305166268322256
"3.3 Mosaico de Agricultura ou Pastagem";0.027158269236404926;0.013480593499776235;0.0;0.0;0.05246804185819446;0.00020063634571999207;0.0002838828517861344;0.09359142379188176;0.09359142379188176;-0.0411233819336873;0.5606073690562401;0.018978114295505603;0.4393926309437599;0.0411233819336873
"4.1. Infraestrutura Urbana";6.0822109426791265e-05;0.0;5.279310767200887e-05;0.0;0.0;0.001630266426987643;0.0;0.0017438816440864431;0.0017438816440864431;0.0008583486827878751;0.9348492384881321;0.055037427691824514;0.06515076151186794;0.000858348682787875
"5.1. Rio, Lago e Oceano";4.877510824270389e-05;0.0006193736633387764;0.0;0.0;0.0;0.0;0.00863387812262467;0.00930202689420615;0.00930202689420615;0.001839260736762968;0.9281717007292634;0.066985986096379;0.07182829927073664;0.0018392607367629689
"total";0.5993027562584107;0.03770814018786126;0.2900347296557853;0.006742814081904915;0.05246804185819446;0.002602230326874318;0.011141287630969119;1.0;1.0;0;0.7966722791283037;0.013456024003450136;0.20332772087169626;0.08528564232052457
"adj population";0.5993027562584108;0.03770814018786127;0.2900347296557851;0.006742814081904916;0.0524680418581944;0.002602230326874318;0.011141287630969117;1.0;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";6.716020023561694e-17;1.5080711617821743e-16;7.312067644354496e-17;3.504262033198361e-16;1.432425769342881e-16;6.01386558828883e-16;3.2353698048953693e-16;1.7096803124299235e-15;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.8963711790042851;0.1220666257916572;0.6580945331904844;0.18822987520456608;1.0;0.6264881360236262;0.7749443698612829;0.796672279128304;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.010595913586032932;0.008406297262852212;0.014524130289788646;0.01381893695943428;0.03525806049228963;0.03612927108031581;0.052221531991897614;0.01349857996473808;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.989404086413967;0.9915937027371478;0.9854758697102114;0.9861810630405657;0.9647419395077104;0.9638707289196842;0.9477784680081024;0.20332772087169604;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.12421007610108337;0.0483048638588062;0.0510584591076127;0.010947230057480724;0.0;0.00022723043419760032;0.0013362975431629592;0.11804207855117177;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 1995 "
" ";"1.1. Floresta Natural";"2.2. Formação Campestre (Campo)";"3.1. Pastagem";"3.2. Agricultura";"3.3 Mosaico de Agricultura ou Pastagem";"4.1. Infraestrutura Urbana";"5.1. Rio, Lago e Oceano";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1.1. Floresta Natural";0.5355459603735124;0.01340717015322458;0.08422871849212261;0.003312678244878658;0.0;0.00015148344842753154;0.0023545059888756105;0.6390005167010415;0.6390005167010415;-0.042999421037832296;0.8380994167866528;0.009437847874133175;0.16190058321334722;0.0429994210378325
"2.2. Formação Campestre (Campo)";0.017931292319180885;0.004843555520588021;0.006104268537921328;0.00018548898895757933;0.0;9.71555506498961e-05;7.928012734330448e-05;0.029241041044641012;0.029241041044641012;0.008868534102435252;0.16564237617920563;0.011510572558047607;0.8343576238207944;0.00886853410243527
"3.1. Pastagem";0.015722726972304965;0.005386408816867936;0.18768430727456997;0.0021262467949293025;0.0;0.0004195111391564166;0.00014695320222024214;0.21148615420004885;0.21148615420004885;0.08030842685701682;0.8874543488886547;0.020996165495518988;0.11254565111134529;0.08030842685701683
"3.2. Agricultura";0.0003285807425098816;0.0;0.013574084012927265;0.0012483193151962308;0.0;0.0;0.0;0.015150984070633379;0.015150984070633379;-0.008278250726671616;0.0823919627515023;0.005268857370552127;0.9176080372484977;0.00827825072667161
"3.3 Mosaico de Agricultura ou Pastagem";0.026362812834770603;0.014472440656395743;0.0;0.0;0.053374090164585976;0.0002616232859261685;0.00043340817669220935;0.0949043751183707;0.0949043751183707;-0.04153028495378474;0.562398625964445;0.01914293138354478;0.437601374035555;0.041530284953784725
"4.1. Infraestrutura Urbana";6.0891592271252086e-05;0.0;5.285341822886966e-05;0.0;0.0;0.0018444581465560095;0.0;0.001958203157056131;0.001958203157056131;0.000816028413659891;0.9419135802685966;0.05168545480088947;0.05808641973140338;0.0008160284136598914
"5.1. Rio, Lago e Oceano";4.883082865903813e-05;0.0;0.0001503493212956367;0.0;0.0;0.0;0.008059545558253169;0.008258725708207845;0.008258725708207845;0.002814967345176692;0.9758824597169122;0.07273936236303598;0.02411754028308777;0.002814967345176691
"total";0.596001095663209;0.03810957514707628;0.2917945810570657;0.00687273334396177;0.053374090164585976;0.0027742315707160225;0.011073693053384535;0.9999999999999999;0.9999999999999999;0;0.7926002363532619;0.013406290464021262;0.20739976364673807;0.09280795671828874
"adj population";0.59600109566321;0.03810957514707628;0.2917945810570654;0.006872733343961771;0.05337409016458594;0.0027742315707160216;0.011073693053384537;0.9999999999999999;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";6.718274132737249e-17;1.5004838257397648e-16;7.315941567798411e-17;3.421020288689187e-16;1.4273597206494603e-16;5.804139033171748e-16;3.252946553520752e-16;1.6809370991824476e-15;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.8985653957189049;0.1270955003275499;0.6432069663345287;0.18163360234148704;1.0;0.664853707969288;0.7278100918455447;0.7926002363532616;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.010657273471536851;0.008678914631728598;0.014225503666097615;0.011556071014541909;0.03554657584662802;0.036573680001055243;0.04938458755274982;0.013458442858456428;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.9893427265284631;0.9913210853682713;0.9857744963339024;0.9884439289854581;0.964453424153372;0.9634263199989448;0.9506154124472502;0.2073997636467384;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.12091027057939319;0.048794971048105984;0.04760369385095775;0.01124882805753108;0.0;0.0002274900210002431;0.0003983602999093512;0.11459180692844881;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 1996 "
" ";"1.1. Floresta Natural";"2.2. Formação Campestre (Campo)";"3.1. Pastagem";"3.2. Agricultura";"3.3 Mosaico de Agricultura ou Pastagem";"4.1. Infraestrutura Urbana";"5.1. Rio, Lago e Oceano";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1.1. Floresta Natural";0.5305394591466809;0.012819534620454863;0.08626717635773085;0.003421635386414244;0.0;0.0001511520146645232;0.003103255102373692;0.6363022126283191;0.6363022126283191;-0.044421843889803414;0.8337853438466408;0.009436428888342268;0.16621465615335917;0.044421843889803525
"2.2. Formação Campestre (Campo)";0.01801535231819227;0.0044855382241756805;0.006909802508770043;0.00017557996516581845;0.0;9.694298201561097e-05;7.910666871657048e-05;0.029762322667035993;0.029762322667035993;0.008237995230248662;0.15071196809326134;0.010416199778831523;0.8492880319067386;0.008237995230248676
"3.1. Pastagem";0.016502273328894625;0.00543770056924287;0.19070059590839833;0.0016929738367172558;0.0;0.00041859328207752235;0.0003097917950972783;0.2150619287204279;0.2150619287204279;0.08241976743199049;0.8867241033456074;0.0207069310976199;0.11327589665439264;0.08241976743199053
"3.2. Agricultura";0.00027478071342820667;6.062480124361396e-05;0.013360009585512532;0.0016568696391545473;0.0;0.0;0.0;0.0153522847393389;0.0153522847393389;-0.00840522591188704;0.10792332654624115;0.006721768330290408;0.8920766734537589;0.008405225911887035
"3.3 Mosaico de Agricultura ou Pastagem";0.026306346681009535;0.015101468663141705;0.0;0.0;0.05098575692610017;0.00031396032475898556;0.0004843491223541454;0.09319188171736455;0.09319188171736455;-0.04220612479126439;0.5471051339078167;0.01888706907958877;0.4528948660921833;0.04220612479126438
"4.1. Infraestrutura Urbana";0.0001326741933288519;0.0;5.273777914438032e-05;0.0;0.0;0.0018404226185127137;0.0;0.0020258345909859457;0.0020258345909859457;0.0007952366310434099;0.9084762530473948;0.04976980440431615;0.09152374695260523;0.0007952366310434097
"5.1. Rio, Lago e Oceano";0.00010948235698117365;9.545101902593331e-05;0.00019137401286231079;0.0;0.0;0.0;0.007907227547656279;0.008303534936525697;0.008303534936525697;0.0035801952996722683;0.9522724487945325;0.07136498681337933;0.047727551205467456;0.003580195299672269
"total";0.5918803687385156;0.03800031789728467;0.29748169615241843;0.006947058827451865;0.05098575692610017;0.0028210712220293555;0.011883730236197966;1.0;1.0;0;0.7881158700106792;0.01332442648108869;0.21188412998932082;0.09503319459295491
"adj population";0.5918803687385177;0.03800031789728466;0.2974816961524184;0.006947058827451867;0.05098575692610014;0.0028210712220293555;0.011883730236197966;1.0;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";6.687405643092769e-17;1.497963907953482e-16;7.251859581934062e-17;3.4321479511208987e-16;1.4492762735538393e-16;5.691639884481994e-16;3.129867461785189e-16;1.6594822001398085e-15;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.896362655645141;0.11803949209846472;0.6410498473515847;0.23849943987911726;1.0;0.6523843156248972;0.6653826189667941;0.7881158700106787;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.010705140176949247;0.00800978213887112;0.013987656401766274;0.01445083270148266;0.03621754298584003;0.03611304360555948;0.04461047328066844;0.013380594260741585;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.9892948598230508;0.9919902178611288;0.9860123435982338;0.9855491672985174;0.96378245701416;0.9638869563944406;0.9553895267193315;0.21188412998932127;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.12268181918366938;0.05055356888572063;0.048722665624059136;0.010580378376594635;0.0;0.0003708239449464641;0.0007926147777388357;0.11685093539636456;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 1997 "
" ";"1.1. Floresta Natural";"2.2. Formação Campestre (Campo)";"3.1. Pastagem";"3.2. Agricultura";"3.3 Mosaico de Agricultura ou Pastagem";"4.1. Infraestrutura Urbana";"5.1. Rio, Lago e Oceano";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1.1. Floresta Natural";0.530108543674878;0.01213870044623429;0.08823835508481861;0.003169678468576227;0.0;6.060525251312313e-05;0.0025471013394166245;0.6362629842664369;0.6362629842664369;-0.04554861895043894;0.8331594903105254;0.009451851750759717;0.16684050968947461;0.045548618950439046
"2.2. Formação Campestre (Campo)";0.017973718518280068;0.004673781090946179;0.0057718226640765405;0.00017552334864340177;0.0;9.69117223299786e-05;7.908116042763516e-05;0.028770838504703803;0.028770838504703803;0.008640367093858084;0.16244855325235133;0.011374701732754669;0.8375514467476487;0.008640367093858101
"3.1. Pastagem";0.016777816029974725;0.005620056813552709;0.19144840651930214;0.0018829642464437888;0.0;0.0005093661836251997;0.0007136564424583243;0.2169522662353569;0.2169522662353569;0.08280223722995486;0.8824448337940506;0.020557529505550138;0.11755516620594941;0.08280223722995494
"3.2. Agricultura";0.0003655999879633092;6.060525251312313e-05;0.014149881467870992;0.0018532949524428868;0.0;0.0;0.0;0.01642938166079031;0.01642938166079031;-0.009347920644684017;0.1128036946676991;0.006903477492325963;0.8871963053323009;0.009347920644684007
"3.3 Mosaico de Agricultura ou Pastagem";0.025379240050982098;0.014857456742802486;0.0;0.0;0.049519002494789785;0.00034375185690315384;0.000715177695304709;0.09081462884078223;0.09081462884078223;-0.04129562634599246;0.5452756139278764;0.0189344770848442;0.4547243860721236;0.041295626345992445
"4.1. Infraestrutura Urbana";6.0738774500766655e-05;0.0;0.0;0.0;0.0;0.0018661895530545278;0.0;0.0019269283275552946;0.0019269283275552946;0.0009498962408706885;0.968478965391605;0.05402542520282056;0.03152103460839495;0.0009498962408706888
"5.1. Rio, Lago e Oceano";4.870827941885093e-05;6.060525251312313e-05;0.0001460377292435325;0.0;0.0;0.0;0.00858762090319743;0.008842972164372936;0.008842972164372936;0.0037996653764317866;0.9711238194094649;0.06796323076180184;0.028876180590535094;0.0037996653764317875
"total";0.5907143653159979;0.037411205598561904;0.29975450346531185;0.0070814610161063045;0.049519002494789785;0.0028768245684259834;0.012642637540804724;1.0000000000000002;1.0000000000000002;0;0.7880568391886114;0.013339173178125427;0.21194316081138864;0.0961921659411155
"adj population";0.5907143653159997;0.037411205598561904;0.29975450346531174;0.0070814610161063045;0.04951900249478976;0.0028768245684259825;0.01264263754080472;1.0000000000000002;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";6.68059872630856e-17;1.5033212616814006e-16;7.233026074872047e-17;3.450719857674618e-16;1.4568618095890242e-16;5.59600505231118e-16;3.067925061538411e-16;1.6466195522912694e-15;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.8974024923048908;0.12492997796162549;0.6386840040968957;0.26171081761626486;1.0;0.6486977251016696;0.679258649587989;0.7880568391886112;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.010730175664190586;0.008573000482244441;0.01390152239698896;0.015406048923862868;0.03625806037773447;0.036137102307336987;0.04290398751886079;0.013377179118534133;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.9892698243358095;0.9914269995177556;0.9860984776030111;0.9845939510761371;0.9637419396222655;0.963862897692663;0.9570960124811392;0.21194316081138875;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.12121164328223966;0.04819411482751525;0.05100771943210952;0.010456332127326835;0.0;0.00012147754900153351;0.0005107025223510114;0.1157509948702719;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 1998 "
" ";"1.1. Floresta Natural";"2.2. Formação Campestre (Campo)";"3.1. Pastagem";"3.2. Agricultura";"3.3 Mosaico de Agricultura ou Pastagem";"4.1. Infraestrutura Urbana";"5.1. Rio, Lago e Oceano";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1.1. Floresta Natural";0.5283434732178887;0.012050234214593097;0.08607611340842745;0.0029961920201386064;0.0;6.067515789783339e-05;0.0018989845989033451;0.631425672617849;0.631425672617849;-0.04375014129182495;0.836746898534252;0.009536532079777262;0.163253101465748;0.043750141291825084
"2.2. Formação Campestre (Campo)";0.018282327898233117;0.004584436787923924;0.0062040489326364535;0.00017572580679189135;0.0;9.70235055657789e-05;0.0;0.029343562931151167;0.029343562931151167;0.008695068703609029;0.15623313360686264;0.01090923985621304;0.8437668663931374;0.008695068703609032
"3.1. Pastagem";0.016541860227292177;0.006970537451584975;0.1962637124084262;0.001829598370712088;0.0;0.0005099537142029662;0.00026765660474033405;0.22238331877695874;0.22238331877695874;0.08039194884471723;0.8825469171330722;0.02030946478372496;0.1174530828669278;0.08039194884471731
"3.2. Agricultura";0.0003634087391513201;6.067515789783339e-05;0.014186066075799815;0.001702286636717777;0.0;0.0;0.0;0.016312436609566747;0.016312436609566747;-0.009608633775206394;0.10435514187496896;0.006573473594064777;0.895644858125031;0.009608633775206385
"3.3 Mosaico de Agricultura ou Pastagem";0.02403488794737202;0.014227053621174593;0.0;0.0;0.050398704087934454;0.0003441483589356547;0.0003854035422487593;0.0893901975576655;0.0893901975576655;-0.038991493469731034;0.5638057132094636;0.019477927599887132;0.4361942867905364;0.03899149346973105
"4.1. Infraestrutura Urbana";6.080883389697801e-05;0.0;0.0;0.0;0.0;0.001868342117283516;0.0;0.001929150951180494;0.001929150951180494;0.0009509919027052552;0.968478965391605;0.05410245360735462;0.03152103460839495;0.0009509919027052549
"5.1. Rio, Lago e Oceano";4.876446218965306e-05;0.00014569440158578224;4.532679638612364e-05;0.0;0.0;0.0;0.008975874895464928;0.009215660555626486;0.009215660555626486;0.0023122590857308795;0.9739806323470581;0.06702008947852159;0.026019367652941883;0.0023122590857308795
"total";0.5876755313260239;0.0380386316347602;0.30277526762167606;0.006703802834360362;0.050398704087934454;0.002880142853885749;0.011527919641357366;1.0000000000000002;1.0000000000000002;0;0.7921368301516399;0.013428584692710643;0.20786316984836006;0.0923502685367625
"adj population";0.5876755313260262;0.0380386316347602;0.30277526762167584;0.006703802834360363;0.050398704087934426;0.002880142853885749;0.01152791964135736;1.0000000000000002;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";6.685349972386366e-17;1.494183710274713e-16;7.224081166689029e-17;3.564129018525646e-16;1.444559462761349e-16;5.60251093650494e-16;3.246037698313965e-16;1.674236394028815e-15;NaN;NaN;NaN;NaN;NaN;NaN
